path,subject,session,metric,value,group,z_sigma,iqr,mad,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,dim_y,254.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-021/anat/021_T1_DEFACED.nii.gz,21,,dim_z,158.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-025/anat/025_T1_DEFACED.nii.gz,25,,dim_z,163.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-047/anat/047_T1_DEFACED.nii.gz,47,,dim_z,161.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-090/anat/090_T1_DEFACED.nii.gz,90,,dim_z,160.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-107/anat/107_T1_DEFACED.nii.gz,107,,dim_z,163.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-032/anat/032_T1_DEFACED.nii.gz,32,,file_size_mb,7.905126571655273,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-035/anat/035_T1_DEFACED.nii.gz,35,,file_size_mb,8.665966987609863,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-019/anat/019_T1_DEFACED.nii.gz,19,,median,16.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,median,3.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-031/anat/031_T1_DEFACED.nii.gz,31,,mean,115.06492027711596,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED.nii.gz,89,,mean,56.55373688012445,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,mean,19.51434646796245,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-031/anat/031_T1_DEFACED.nii.gz,31,,std,115.06789778620484,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED.nii.gz,89,,std,56.8759568992726,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,std,28.31447990034899,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-019/anat/019_T1_DEFACED.nii.gz,19,,mad,15.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,mad,2.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,entropy,4.143931141979318,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-019/anat/019_T1_DEFACED.nii.gz,19,,efc,0.5555,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,efc,0.5061,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED.nii.gz,89,,nonzero_frac,0.8783479026854313,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED.nii.gz,86,,nonzero_frac,0.8743116947029349,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-008/anat/008_T1_DEFACED.nii.gz,8,,n_voxels,8201600.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AGE-ILITY/sub-028/anat/028_T1_DEFACED.nii.gz,28,,n_voxels,8166400.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,True,False
