path,subject,session,metric,value,group,z_sigma,iqr,mad,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1442/ses-20071208/anat/sub-UCLA1442_ses-20071208_acq-SAGMPRAGE8CHANNEL_T1w.nii.gz,sub-UCLA1442,ses-20071208,file_size_mb,12.037885665893556,"('ICBM_bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1442/ses-20071208/anat/sub-UCLA1442_ses-20071208_acq-SAGMPRAGE8CHANNEL_T1wa.nii.gz,sub-UCLA1442,ses-20071208,file_size_mb,11.933024406433104,"('ICBM_bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1442/ses-20071208/anat/sub-UCLA1442_ses-20071208_acq-SAGMPRAGE8CHANNEL_T1wd.nii.gz,sub-UCLA1442,ses-20071208,file_size_mb,11.842225074768066,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1069/ses-20051020/anat/sub-UCLA1069_ses-20051020_acq-SAGMPRAGE8CHANNEL_T1wa.nii.gz,sub-UCLA1069,ses-20051020,max,2174.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1069/ses-20051020/anat/sub-UCLA1069_ses-20051020_acq-SAGMPRAGE8CHANNEL_T1w.nii.gz,sub-UCLA1069,ses-20051020,max,2191.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1069/ses-20051020/anat/sub-UCLA1069_ses-20051020_acq-SAGMPRAGE8CHANNEL_T1wb.nii.gz,sub-UCLA1069,ses-20051020,max,2211.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1069/ses-20051020/anat/sub-UCLA1069_ses-20051020_acq-SAGMPRAGE8CHANNEL_T1wc.nii.gz,sub-UCLA1069,ses-20051020,max,2155.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1069/ses-20051020/anat/sub-UCLA1069_ses-20051020_acq-SAGMPRAGE8CHANNEL_T1wd.nii.gz,sub-UCLA1069,ses-20051020,max,2215.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1115/ses-20070627/anat/sub-UCLA1115_ses-20070627_acq-SAGMPRAGE8CHANNEL_T1w.nii.gz,sub-UCLA1115,ses-20070627,max,2187.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ICBM_bids/sub-UCLA1115/ses-20070627/anat/sub-UCLA1115_ses-20070627_acq-SAGMPRAGE8CHANNEL_T1wa.nii.gz,sub-UCLA1115,ses-20070627,max,2212.0,"('ICBM_bids', np.float64(nan), np.float64(nan))",False,True,True,False
