path,subject,session,metric,value,group,z_sigma,iqr,mad,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00008326/ses-MRI1/anat/sub-A00008326_ses-MRI1_T1wNav.nii.gz,sub-A00008326,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00010893/ses-MRI1/anat/sub-A00010893_ses-MRI1_T1wNav.nii.gz,sub-A00010893,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00015238/ses-MRI1/anat/sub-A00015238_ses-MRI1_T1wNav.nii.gz,sub-A00015238,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00017133/ses-MRI1/anat/sub-A00017133_ses-MRI1_T1wNav.nii.gz,sub-A00017133,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00018181/ses-MRI1/anat/sub-A00018181_ses-MRI1_T1wNav.nii.gz,sub-A00018181,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00022695/ses-MRI1/anat/sub-A00022695_ses-MRI1_T1wNav.nii.gz,sub-A00022695,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00027470/ses-MRI1/anat/sub-A00027470_ses-MRI1_T1wNav.nii.gz,sub-A00027470,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00028794/ses-MRI1/anat/sub-A00028794_ses-MRI1_T1wNav.nii.gz,sub-A00028794,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00030989/ses-MRI1/anat/sub-A00030989_ses-MRI1_T1wNav.nii.gz,sub-A00030989,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00031452/ses-MRI1/anat/sub-A00031452_ses-MRI1_T1wNav.nii.gz,sub-A00031452,ses-MRI1,voxel_x_mm,8.0,"('RocklandSample2', np.float64(nan), np.float64(nan))",False,False,False,True
