path,subject,session,metric,value,group,z_sigma,iqr,mad,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1002928/ses-PREBL00/anat/sub-1002928_ses-PREBL00_run-001_T1map.nii.gz,sub-1002928,ses-PREBL00,file_size_mb,19.916866302490234,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1002928/ses-PREBL00/anat/sub-1002928_ses-PREBL00_run-001_UNIT1.nii.gz,sub-1002928,ses-PREBL00,file_size_mb,16.79042148590088,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1263509/ses-PREBL00/anat/sub-1263509_ses-PREBL00_run-001_T1w.nii.gz,sub-1263509,ses-PREBL00,file_size_mb,12.282015800476074,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1263509/ses-PREBL00/anat/sub-1263509_ses-PREBL00_run-001_T1map.nii.gz,sub-1263509,ses-PREBL00,file_size_mb,19.773387908935547,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1263509/ses-PREBL00/anat/sub-1263509_ses-PREBL00_run-001_UNIT1.nii.gz,sub-1263509,ses-PREBL00,file_size_mb,16.129716873168945,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1263509/ses-PREEN00/anat/sub-1263509_ses-PREEN00_run-001_T1w.nii.gz,sub-1263509,ses-PREEN00,file_size_mb,12.442014694213867,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1283278/ses-PREBL00/anat/sub-1283278_ses-PREBL00_run-001_T1map.nii.gz,sub-1283278,ses-PREBL00,file_size_mb,19.74453353881836,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1283278/ses-PREBL00/anat/sub-1283278_ses-PREBL00_run-001_UNIT1.nii.gz,sub-1283278,ses-PREBL00,file_size_mb,16.191807746887207,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1527281/ses-PREBL00/anat/sub-1527281_ses-PREBL00_run-001_T1map.nii.gz,sub-1527281,ses-PREBL00,file_size_mb,19.89162254333496,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1711090/ses-PREBL00/anat/sub-1711090_ses-PREBL00_run-001_T1map.nii.gz,sub-1711090,ses-PREBL00,file_size_mb,19.947813034057617,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-1711090/ses-PREBL00/anat/sub-1711090_ses-PREBL00_run-001_UNIT1.nii.gz,sub-1711090,ses-PREBL00,file_size_mb,18.119723320007324,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2416212/ses-PREBL00/anat/sub-2416212_ses-PREBL00_run-001_T1map.nii.gz,sub-2416212,ses-PREBL00,file_size_mb,19.882142066955566,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2416212/ses-PREBL00/anat/sub-2416212_ses-PREBL00_run-001_T1w.nii.gz,sub-2416212,ses-PREBL00,file_size_mb,12.266292572021484,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2416212/ses-PREBL00/anat/sub-2416212_ses-PREBL00_run-001_UNIT1.nii.gz,sub-2416212,ses-PREBL00,file_size_mb,16.188103675842285,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2843957/ses-PREBL00/anat/sub-2843957_ses-PREBL00_run-001_T1w.nii.gz,sub-2843957,ses-PREBL00,file_size_mb,12.524707794189451,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2843957/ses-PREBL00/anat/sub-2843957_ses-PREBL00_run-001_T1map.nii.gz,sub-2843957,ses-PREBL00,file_size_mb,19.75262928009033,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-2843957/ses-PREBL00/anat/sub-2843957_ses-PREBL00_run-001_UNIT1.nii.gz,sub-2843957,ses-PREBL00,file_size_mb,16.220722198486328,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-3162878/ses-PREFU36/anat/sub-3162878_ses-PREFU36_run-002_T1w.nii.gz,sub-3162878,ses-PREFU36,file_size_mb,12.397364616394045,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-3452929/ses-PREBL00/anat/sub-3452929_ses-PREBL00_run-001_T1map.nii.gz,sub-3452929,ses-PREBL00,file_size_mb,19.82608318328857,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-3452929/ses-PREBL00/anat/sub-3452929_ses-PREBL00_run-001_UNIT1.nii.gz,sub-3452929,ses-PREBL00,file_size_mb,16.408589363098145,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-3463254/ses-PREBL00/anat/sub-3463254_ses-PREBL00_run-001_T1w.nii.gz,sub-3463254,ses-PREBL00,file_size_mb,12.057089805603027,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-3974587/ses-NAPFU36/anat/sub-3974587_ses-NAPFU36_run-002_T1w.nii.gz,sub-3974587,ses-NAPFU36,file_size_mb,11.96362590789795,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-4200389/ses-PREBL00/anat/sub-4200389_ses-PREBL00_run-001_T1map.nii.gz,sub-4200389,ses-PREBL00,file_size_mb,19.870348930358887,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-4200389/ses-PREBL00/anat/sub-4200389_ses-PREBL00_run-001_T1w.nii.gz,sub-4200389,ses-PREBL00,file_size_mb,12.120267868041992,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-4280226/ses-PREBL00/anat/sub-4280226_ses-PREBL00_run-001_T1map.nii.gz,sub-4280226,ses-PREBL00,file_size_mb,19.7544059753418,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-4280226/ses-PREBL00/anat/sub-4280226_ses-PREBL00_run-001_UNIT1.nii.gz,sub-4280226,ses-PREBL00,file_size_mb,16.790661811828613,"('preventad-open-bids', np.float64(nan), np.float64(nan))",False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/preventad-open-bids/sub-4329125/ses-PREBL00/anat/sub-4329125_ses-PREBL00_run-001_T1map.nii.gz,sub-4329125,ses-PREBL00,file_size_mb,19.83273220062256,"('preventad-open-bids', np.float64(nan), np.float64(nan))",True,True,True,False
