dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000148/anat/sub-000148_acq-standard_T1w.nii.gz,,sub-000148,,192,256,256,1.0,1.0,1.0,8.424724578857422,3,Siemens,Prisma,12582912,6960516,0.5531721115112305,69.0210730206162,1.9992218725383282,137.6462636603816,1.9992218725383282,3.5557090445376067,2.057924532479585,0.0,0.0,393.99791054427624,523.0065219663084,1.2081080080286628,0.4126
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-003617/anat/sub-003617_acq-standard_T1w.nii.gz,,sub-003617,,192,256,256,1.0,1.0,1.0,9.550498008728027,3,Siemens,MAGNETOM Prisma,12582912,8434058,0.6702787081400553,64.05505199023118,1.9955901056528091,113.35172101486614,1.9955901056528091,3.203789932383698,1.8980766169888015,0.0,0.0,301.0036260634661,476.996878311038,1.6450728864345896,0.4595
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000175/anat/sub-000175_acq-standard_T1w.nii.gz,,sub-000175,,192,256,256,1.0,1.0,1.0,11.769237518310547,3,Siemens,Prisma,12582912,9397828,0.7468722661336263,116.44171866551243,4.010345745831728,186.3717693197482,4.010345745831728,2.688315030241455,1.7154718439858418,0.0,0.0,487.9900820720941,762.0088137052953,1.1607990120828193,0.4993
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000103/anat/sub-000103_acq-standard_T1w.nii.gz,,sub-000103,,192,256,256,1.0,1.0,1.0,10.574841499328613,3,Siemens,Prisma,12582912,8556569,0.6800150076548258,93.07971674688707,2.998092770576477,156.6869599245533,2.998092770576477,2.024968731480671,1.6397389480369304,0.0,0.0,419.00220276787877,583.9909955486655,1.2185269219205883,0.4772
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000149/anat/sub-000149_acq-standard_T1w.nii.gz,,sub-000149,,192,256,256,1.0,1.0,1.0,9.800992965698242,3,Siemens,Prisma,12582912,8431459,0.6700721581776937,82.13594198201336,1.9984283465892076,154.11248034607786,1.9984283465892076,3.1856915629969826,1.945469427863859,0.0,0.0,431.99654178880155,606.0012895949185,1.2182983135375076,0.4361
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000159/anat/sub-000159_acq-standard_T1w.nii.gz,,sub-000159,,192,256,256,1.0,1.0,1.0,9.4876708984375,3,Siemens,Prisma,12582912,8113598,0.6448108355204264,84.00540614135961,1.9942626543343067,158.9446548303898,1.9942626543343067,2.7686670933230353,1.8969987981835044,0.0,0.0,449.9925335869193,609.0004262141883,1.0822325405101694,0.4322
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000179/anat/sub-000179_acq-standard_T1w.nii.gz,,sub-000179,,192,256,256,1.0,1.0,1.0,10.390986442565918,3,Siemens,Prisma,12582912,8658563,0.6881207625071207,84.377619303175,2.991744786500931,150.17119288748654,2.991744786500931,2.7902851209720163,1.8461261186665814,0.0,0.0,416.0055122729391,603.992475874722,1.3150673278117164,0.4569
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-000183/anat/sub-000183_acq-standard_T1w.nii.gz,,sub-000183,,192,256,256,1.0,1.0,1.0,11.061634063720703,3,Siemens,Prisma,12582912,8613767,0.6845606962839762,112.31460554293567,4.001831039786339,177.90888896110854,4.001831039786339,2.1294413007292174,1.6149465254597706,0.0,0.0,467.99190770834684,706.9901503622532,1.111041065228638,0.5024
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-010769/anat/sub-010769_acq-standard_T1w.nii.gz,,sub-010769,,192,256,256,1.0,1.0,1.0,11.14919376373291,3,Siemens,Prisma,12582912,9315733,0.7403479417165121,97.9640153475428,2.9939573872834444,161.82961101731019,2.9939573872834444,2.478710063901427,1.7107556074186108,0.0,0.0,433.00773053243756,641.008048189804,1.3379691999261918,0.4862
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-009673/anat/sub-009673_acq-standard_T1w.nii.gz,,sub-009673,,192,256,256,1.0,1.0,1.0,9.527777671813965,3,Siemens,Prisma,12582912,8191642,0.6510132153828939,78.95901365274938,1.9917601011693478,149.37138395773493,1.9917601011693478,2.9575351827576783,1.9191831636376082,0.0,0.0,422.00853933021426,562.0083085466176,1.2055905455645806,0.4324
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-012059/anat/sub-012059_acq-standard_T1w.nii.gz,,sub-012059,,192,256,256,1.0,1.0,1.0,8.081927299499512,3,Siemens,Prisma,12582912,7814783,0.6210631529490153,65.04869721559179,1.9990539401769638,129.55032300793272,1.9990539401769638,3.1346010796909596,2.001360398395278,0.0,0.0,376.990127325058,474.0003966242075,0.9208983685473572,0.4132
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-012322/anat/sub-012322_acq-standard_T1w.nii.gz,,sub-012322,,192,256,256,1.0,1.0,1.0,9.019594192504883,3,Siemens,Prisma,12582912,7829903,0.6222647825876871,75.97219437921831,1.998580964282155,146.4340073208294,1.998580964282155,2.997538818567288,1.9350391383228605,0.0,0.0,415.99035213701427,532.0118704531342,0.8242719851731868,0.425
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-105822/anat/sub-105822_acq-standard_T1w.nii.gz,,sub-105822,,192,256,256,1.0,1.0,1.0,8.373072624206543,3,Siemens,MAGNETOM Prisma,12582912,7155889,0.5686989625295004,56.08408326216668,1.0013733291998506,109.92662297112523,1.0013733291998506,4.741729952442127,2.201168003564564,0.0,0.0,289.9977161362767,479.0035941116512,1.4417268971935338,0.4201
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-016504/anat/sub-016504_acq-standard_T1w.nii.gz,,sub-016504,,192,256,256,1.0,1.0,1.0,9.77414608001709,3,Siemens,Prisma,12582912,8274738,0.6576170921325684,77.44403384606271,1.9974060766398907,141.4952578656842,1.9974060766398907,2.5362158509575163,1.8237271953664838,0.0,0.0,400.9918585792184,509.0028510428965,1.271729018857088,0.4458
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-089207/anat/sub-089207_acq-standard_T1w.nii.gz,,sub-089207,,192,256,256,1.0,1.0,1.0,10.428217887878418,3,Siemens,Prisma,12582912,8651706,0.6875758171081543,93.30034154967443,3.0009613931179047,158.88514837192582,3.0009613931179047,1.8674811767340946,1.6382552319843362,0.0,0.0,435.9915268421173,569.9974201619625,1.2266587687233232,0.4727
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-067018/anat/sub-067018_acq-standard_T1w.nii.gz,,sub-067018,,192,256,256,1.0,1.0,1.0,9.499048233032227,3,Siemens,Prisma,12582912,8244054,0.6551785469055176,79.05088206784605,1.9935911558568478,147.84774147395834,1.9935911558568478,3.0599461803847436,1.9184485167570253,0.0,0.0,417.9896123446524,567.994567392394,0.8635359783568576,0.437
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-118003/anat/sub-118003_acq-standard_T1w.nii.gz,,sub-118003,,192,256,256,1.0,1.0,1.0,8.712581634521484,3,Siemens,Prisma,12582912,7568027,0.6014527479807535,69.22060309037256,2.002319322898984,138.110567838076,2.002319322898984,3.7375709229641165,2.077611442505219,0.0,0.0,392.00746743939817,549.9962940141559,1.0542191465367319,0.4125
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-108142/anat/sub-108142_acq-standard_T1w.nii.gz,,sub-108142,,192,256,256,1.0,1.0,1.0,9.605709075927734,3,Siemens,Prisma,12582912,8126200,0.6458123524983724,78.47852658124249,2.005310207605362,139.40923575573163,2.005310207605362,1.7105120917767769,1.6758190031692137,0.0,0.0,392.99987599253654,497.0099962502718,1.068558481509874,0.4561
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-127867/anat/sub-127867_acq-standard_T1w.nii.gz,,sub-127867,,192,256,256,1.0,1.0,1.0,9.352474212646484,3,Siemens,Prisma,12582912,7665315,0.6091845035552979,74.87487116215759,2.0087740160524845,142.28059910938333,2.0087740160524845,4.128135979241987,2.0902835479399555,0.0,0.0,380.9915461242199,592.997200243175,1.2176362496167294,0.4321
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-107738/anat/sub-107738_acq-standard_T1w.nii.gz,,sub-107738,,192,256,256,1.0,1.0,1.0,9.201213836669922,3,Siemens,MAGNETOM Prisma,12582912,8335062,0.6624112129211426,63.645139726786795,2.0019836723804474,104.03814894768772,2.0019836723804474,2.7600848769173583,1.732691545783824,0.0,0.0,274.00320433080196,420.00152580440044,1.7408817779525516,0.4904
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-125171/anat/sub-125171_acq-standard_T1w.nii.gz,,sub-125171,,192,256,256,1.0,1.0,1.0,9.524932861328125,3,Siemens,Prisma,12582912,8106659,0.6442593733469645,72.64958377948061,2.0006409287452698,131.3629445061077,2.0006409287452698,2.6568050461754256,1.8185090129746961,0.0,0.0,367.0064637064934,481.0059477388859,1.163773160414177,0.4498
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-132674/anat/sub-132674_acq-standard_T1w.nii.gz,,sub-132674,,192,256,256,1.0,1.0,1.0,8.888988494873047,3,Siemens,Prisma,12582912,7485544,0.5948975880940756,80.25909031295733,1.9938201606273651,159.77425636353104,1.9938201606273651,3.9101872807865723,2.1064153005506046,0.0,0.0,447.00161665678024,666.000250428915,0.9885802180677921,0.4136
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-122916/anat/sub-122916_acq-standard_T1w.nii.gz,,sub-122916,,192,256,256,1.0,1.0,1.0,8.35489559173584,3,Siemens,Prisma,12582912,7309316,0.5808922449747721,65.65012512347471,1.999008096754551,136.19128182772312,1.999008096754551,3.85454088934764,2.1435268129705687,0.0,0.0,397.0030080154538,515.99659524858,0.9511286718018807,0.3982
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-136038/anat/sub-136038_acq-standard_T1w.nii.gz,,sub-136038,,192,256,256,1.0,1.0,1.0,7.875587463378906,3,Siemens,MAGNETOM Prisma,12582912,6760714,0.537293275197347,50.258753344693275,0.9984893761575222,104.59897940496822,0.9984893761575222,5.160929668440513,2.3159365990657297,0.0,0.0,283.99890684708953,458.9960567969829,1.5309209705954028,0.398
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-149050/anat/sub-149050_acq-standard_T1w.nii.gz,,sub-149050,,192,256,256,1.0,1.0,1.0,10.048456192016602,3,Siemens,Prisma,12582912,8466983,0.672895352045695,92.77265059512888,3.0082245767116547,161.3329062116918,3.0082245767116547,2.6395037889982307,1.7715282184619143,0.0,0.0,435.99465411156416,630.0053483583033,1.143070202775616,0.4651
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-143104/anat/sub-143104_acq-standard_T1w.nii.gz,,sub-143104,,192,256,256,1.0,1.0,1.0,10.477202415466309,3,Siemens,Prisma,12582912,8821689,0.7010848522186279,89.90385870513508,2.996642906218767,156.4720737544714,2.996642906218767,2.2765659809403616,1.736129714725362,0.0,0.0,433.0052333585918,594.9979489147663,1.1970496565083288,0.4651
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-171967/anat/sub-171967_acq-standard_T1w.nii.gz,,sub-171967,,192,256,256,1.0,1.0,1.0,10.824800491333008,3,Siemens,Prisma,12582912,8812193,0.7003301779429117,110.19431492523609,3.989318683743477,168.0322060750576,3.989318683743477,1.5438371842106093,1.4631672817728523,0.0,0.0,441.0052642598748,635.994811784476,1.084426940160121,0.5173
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-152686/anat/sub-152686_acq-standard_T1w.nii.gz,,sub-152686,,192,256,256,1.0,1.0,1.0,8.140901565551758,3,Siemens,Prisma,12582912,6950403,0.5523684024810791,67.29410949995392,0.9956816658377647,136.01651847103057,0.9956816658377647,3.2715639449580873,2.0375760300774086,0.0,0.0,398.9967984557152,502.00459261238575,0.9076725140955728,0.4072
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-177856/anat/sub-177856_acq-standard_T1w.nii.gz,,sub-177856,,192,256,256,1.0,1.0,1.0,8.618983268737793,3,Siemens,Prisma,12582912,7079367,0.5626175403594971,70.46739312598149,2.0032043755054474,139.13515207800518,2.0032043755054474,3.53923798506852,2.0364948846511903,0.0,0.0,398.9882314912975,523.0116223897785,0.8508850766663396,0.4163
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-182744/anat/sub-182744_acq-standard_T1w.nii.gz,,sub-182744,,192,256,256,1.0,1.0,1.0,9.802031517028809,3,Siemens,Prisma,12582912,8450100,0.6715536117553711,78.19284435367992,1.9979552179574966,143.2333516386426,1.9979552179574966,2.953636542697449,1.8792691036482057,0.0,0.0,398.9954992476851,542.0029861945659,1.1261681217966526,0.445
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-153486/anat/sub-153486_acq-standard_T1w.nii.gz,,sub-153486,,192,256,256,1.0,1.0,1.0,10.113883018493652,3,Siemens,Prisma,12582912,8090013,0.6429364681243896,95.60079942239383,1.996124267578125,177.03408931103806,1.996124267578125,2.613705054650473,1.8501037972114187,0.0,0.0,497.0037531852722,687.009831905365,0.7388676021641761,0.4402
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-169618/anat/sub-169618_acq-standard_T1w.nii.gz,,sub-169618,,192,256,256,1.0,1.0,1.0,10.124197006225586,3,Siemens,Prisma,12582912,9025384,0.7172730763753256,83.74041048612473,2.9906614422798157,145.96303770470595,2.9906614422798157,2.398772096034625,1.7462248589625817,0.0,0.0,403.99340319633484,534.9961024522781,1.1581958231778482,0.4644
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-185823/anat/sub-185823_acq-standard_T1w.nii.gz,,sub-185823,,192,256,256,1.0,1.0,1.0,7.937094688415527,3,Siemens,MAGNETOM Prisma,12582912,6968052,0.5537710189819336,48.26017850597227,0.9983825646340847,93.99256029551738,0.9983825646340847,3.148841783585709,1.9741957337073506,0.0,0.0,266.99602299928665,347.9966655783355,1.6795560179188376,0.4211
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-196711/anat/sub-196711_acq-standard_T1w.nii.gz,,sub-196711,,192,256,256,1.0,1.0,1.0,9.152992248535156,3,Siemens,Prisma,12582912,7491658,0.5953834851582845,80.29296817596372,1.996658317744732,154.1558853790358,1.996658317744732,3.8531812899433184,2.050431909141606,0.0,0.0,426.99964309483767,636.9973893389106,0.7072718592473773,0.4273
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-195765/anat/sub-195765_acq-standard_T1w.nii.gz,,sub-195765,,192,256,256,1.0,1.0,1.0,7.774271011352539,3,Siemens,MAGNETOM Prisma,12582912,6544087,0.5200773080190023,48.42275013303964,1.0053253984078765,98.20144042247512,1.0053253984078765,4.1090899381353765,2.1488727143395465,0.0,0.0,274.0008849594742,405.00251764431596,1.6547203351317032,0.4065
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-212152/anat/sub-212152_acq-standard_T1w.nii.gz,,sub-212152,,192,256,256,1.0,1.0,1.0,8.40230655670166,3,Siemens,MAGNETOM Prisma,12582912,7242160,0.575555165608724,53.12675872690726,0.9956512190401554,98.1867859667824,0.9956512190401554,2.7343585275187134,1.8553369667195896,0.0,0.0,271.0002398490906,365.999099265784,1.6844250240380534,0.4408
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-217720/anat/sub-217720_acq-standard_T1w.nii.gz,,sub-217720,,192,256,256,1.0,1.0,1.0,10.84931755065918,3,Siemens,Prisma,12582912,8998122,0.7151064872741699,99.07615642793725,3.991943195462227,169.27799051217272,3.991943195462227,3.429294588549869,1.8648074194305517,0.0,0.0,449.00077360123396,679.0016867816448,1.0551956570004415,0.4736
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-219843/anat/sub-219843_acq-standard_T1w.nii.gz,,sub-219843,,192,256,256,1.0,1.0,1.0,9.222834587097168,3,Siemens,Prisma,12582912,8168160,0.6491470336914062,69.24286592428292,2.007232829928398,131.4660784745046,2.007232829928398,2.6690147572159786,1.88540200162872,0.0,0.0,375.99277725443244,480.99181873723865,1.183839629711401,0.4309
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-253306/anat/sub-253306_acq-standard_T1w.nii.gz,,sub-253306,,192,256,256,1.0,1.0,1.0,9.345312118530273,3,Siemens,Prisma,12582912,7981128,0.6342830657958984,83.4627027496797,2.0050964951515198,155.6236106118409,2.0050964951515198,2.626098505200286,1.8513227423348448,0.0,0.0,440.01314929127693,574.9878028333187,0.8387096179086234,0.4375
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-228373/anat/sub-228373_acq-standard_T1w.nii.gz,,sub-228373,,192,256,256,1.0,1.0,1.0,10.65558910369873,3,Siemens,Prisma,12582912,8691432,0.6907329559326172,107.03097456294024,3.004562446847558,185.6452932555205,3.004562446847558,2.415936774862292,1.7781083793645078,0.0,0.0,502.99693281948566,738.9933316353709,1.2757005182028762,0.4666
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-253493/anat/sub-253493_acq-standard_T1w.nii.gz,,sub-253493,,192,256,256,1.0,1.0,1.0,8.728326797485352,3,Siemens,MAGNETOM Prisma,12582912,7412595,0.5891001224517822,55.9298141676548,0.9950102996081114,101.3090000195644,0.9950102996081114,3.1254870417500893,1.8810516925762273,0.0,0.0,276.995559560135,376.9940946707502,1.5480723085819306,0.4492
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-258056/anat/sub-258056_acq-standard_T1w.nii.gz,,sub-258056,,192,256,256,1.0,1.0,1.0,8.961945533752441,3,Siemens,MAGNETOM Prisma,12582912,7639735,0.6071515878041586,59.28607244177237,0.9999084267765284,101.19926247583437,0.9999084267765284,1.7242766486340528,1.6188686010837225,0.0,0.0,274.99950646050274,365.003609418869,1.6042413838926513,0.4712
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-261051/anat/sub-261051_acq-standard_T1w.nii.gz,,sub-261051,,192,256,256,1.0,1.0,1.0,8.674131393432617,3,Siemens,Prisma,12582912,7576269,0.6021077632904053,69.14001500204766,1.9888304136693478,138.55089338982245,1.9888304136693478,3.6058141077604278,2.0721293733131025,0.0,0.0,398.9899783730507,530.9922226238996,0.8220799177484036,0.4109
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-262577/anat/sub-262577_acq-standard_T1w.nii.gz,,sub-262577,,192,256,256,1.0,1.0,1.0,8.096415519714355,3,Siemens,MAGNETOM Prisma,12582912,6996724,0.556049664815267,51.526813329286,1.002288873307407,101.11555805382258,1.002288873307407,3.881328204779387,2.0766554128501857,0.0,0.0,277.00038700923324,413.0006186114624,1.636654276599922,0.4187
